analysis,model,scope,n_jds,mean_difference,mean_ci_low,mean_ci_high,cohens_dz,dz_ci_low,dz_ci_high,p_value,p_adjusted,wilcoxon_p,sign_flip_p,mean_absolute_difference,fraction_abs_over_0_01
name_group_difference,tfidf,pooled,269,-0.0001279727375610186,-0.00013477404451532404,-0.00012117143060671316,-2.2587216560098557,-2.65741086742174,-1.9509389070675545,1.9634476263259178e-107,5.890342878977753e-107,2.212011388725143e-44,9.999000099990002e-05,0.0001300205993486601,0.0
name_group_difference,svd100,pooled,269,-0.00014437594756305452,-0.00015266580560974982,-0.00013608608951635922,-2.0906695063853866,-2.4498050157440643,-1.8167435407183774,5.357280563962926e-100,8.03592084594439e-100,3.0089773540285894e-44,9.999000099990002e-05,0.00014741822362256037,0.0
name_group_difference,minilm,pooled,269,0.006024941442383835,0.00513264932610037,0.0069172335586673,0.8105567103861373,0.6613435220971636,0.9789532504861379,2.5711285917761376e-31,2.5711285917761376e-31,2.998999907415661e-25,9.999000099990002e-05,0.00786468973392646,0.36059479553903345
name_group_difference,tfidf,swe,70,-0.00011917253669880324,-0.0001378032512414598,-0.00010054182215614667,-1.5252065767816192,-2.1010987345339087,-1.1727381622385573,7.880149204993495e-20,,5.265707379502156e-11,9.999000099990002e-05,0.00012704217699702563,0.0
name_group_difference,tfidf,data,60,-0.0001536750849868705,-0.00016004246442984118,-0.0001473077055438998,-6.234665980459238,-7.718861879405737,-5.318977631844136,3.8953224174266045e-49,,1.629555794311934e-11,9.999000099990002e-05,0.0001536750849868705,0.0
name_group_difference,tfidf,consulting,43,-7.645366601863775e-05,-9.498646644622358e-05,-5.792086559105192e-05,-1.2695850012535106,-1.6577146946184602,-1.0200015300703615,1.9763837967535236e-10,,2.2737367544323206e-13,9.999000099990002e-05,7.645366601863775e-05,0.0
name_group_difference,tfidf,product,60,-0.00013315448454848266,-0.00013854020882694688,-0.00012776876027001844,-6.386782726959707,-9.7799722910277,-4.7129474699301435,9.716690822234695e-50,,1.629555794311934e-11,9.999000099990002e-05,0.00013315448454848266,0.0
name_group_difference,tfidf,unclassified,36,-0.00015514741733542111,-0.0001662744397397682,-0.00014402039493107403,-4.717734157060628,-6.713343579478226,-3.804759712298324,1.0371994522138117e-25,,2.9103830456733704e-11,9.999000099990002e-05,0.00015514741733542111,0.0
name_group_difference,svd100,swe,70,-0.0001342522498826998,-0.00015560698339106053,-0.00011289751637433908,-1.499026856371235,-2.061403620162017,-1.1167651996270431,1.824896862533908e-19,,1.9525578641172188e-11,9.999000099990002e-05,0.00014479326299078013,0.0
name_group_difference,svd100,data,60,-0.00017699376845377042,-0.00018642392802635828,-0.00016756360888118256,-4.848522269691533,-5.847350063287996,-4.186409251414953,6.791922384475357e-43,,1.629555794311934e-11,9.999000099990002e-05,0.00017699376845377042,0.0
name_group_difference,svd100,consulting,43,-8.088781626270856e-05,-0.00010368110703483699,-5.809452549058013e-05,-1.0921457425592447,-1.4390492046580112,-0.8311547843096965,8.543050077488684e-09,,5.603169483947568e-09,9.999000099990002e-05,8.275994050553299e-05,0.0
name_group_difference,svd100,product,60,-0.00015064581870682145,-0.00015977772130323266,-0.00014151391611041023,-4.261537081410365,-5.391741496008795,-3.528625872138754,9.781979044846483e-40,,1.629555794311934e-11,9.999000099990002e-05,0.00015064581870682145,0.0
name_group_difference,svd100,unclassified,36,-0.0001750811409372417,-0.00018923610099210963,-0.00016092618088237376,-4.185030205266872,-5.3913453274316145,-3.5274437594744654,5.672098829655047e-24,,2.9103830456733704e-11,9.999000099990002e-05,0.0001750811409372417,0.0
name_group_difference,minilm,swe,70,0.0033263050378128925,0.00171831037917243,0.004934299696453355,0.4932413400076181,0.2532003640435099,0.7951417147094814,0.00010126962130862369,,0.00011092245329898305,0.00029997000299970003,0.006001632565579722,0.18571428571428572
name_group_difference,minilm,data,60,0.008058252938069147,0.006380536594629984,0.009735969281508309,1.2407743882236648,0.976036249570448,1.6001541522896636,1.1126073273466498e-13,,2.3311516276193343e-09,9.999000099990002e-05,0.008620805167711017,0.48333333333333334
name_group_difference,minilm,consulting,43,0.007386396239805314,0.004718083113058491,0.010054709366552138,0.8519229655022935,0.504798820130227,1.3771884669558416,1.5592693276433307e-06,,1.4952095170883695e-06,9.999000099990002e-05,0.009381029320312385,0.4186046511627907
name_group_difference,minilm,product,60,0.006049412601945206,0.004190379088560998,0.007908446115329414,0.8406136696306219,0.5844893520750887,1.1384290247173972,1.806695341200024e-08,,2.582794957087046e-06,9.999000099990002e-05,0.007636096441720784,0.38333333333333336
name_group_difference,minilm,unclassified,36,0.006216470128940538,0.003577614891858696,0.00885532536602238,0.797069446197275,0.39256927572322037,1.5720629200325957,3.090089826018927e-05,,6.088233203627169e-05,0.00019998000199980003,0.008796913930452684,0.3888888888888889
